case_id,dataset,fold,dice_single,detectability_single,precision_single,dice_dual,detectability_dual,precision_dual,dice_difference,detectability_difference,precision_difference
Liver_Lesions_1238,Liver_Lesions,0,0.9204818510208304,1.0,0.5714285714285714,0.9193971585818508,1.0,0.5714285714285714,-0.0010846924389795731,0.0,0.0
Liver_Lesions_1260,Liver_Lesions,0,0.9333739620629238,0.6,0.8571428571428571,0.9220049240488689,0.6,0.75,-0.011369038014054866,0.0,-0.1071428571428571
Liver_Lesions_1262,Liver_Lesions,0,0.9443614480203243,0.7272727272727273,0.7272727272727273,0.9460491060143914,0.7272727272727273,0.7272727272727273,0.0016876579940671155,0.0,0.0
Liver_Lesions_1264,Liver_Lesions,0,0.4914908100748809,1.0,0.6666666666666666,0.5995203836930456,1.0,1.0,0.10802957361816473,0.0,0.33333333333333337
Liver_Lesions_1266,Liver_Lesions,0,0.9319899244332494,0.8,1.0,0.9364016736401674,0.8,1.0,0.004411749206918003,0.0,0.0
Liver_Lesions_1268,Liver_Lesions,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Liver_Lesions_1277,Liver_Lesions,0,0.8213466642616023,0.6129032258064516,0.7037037037037037,0.8283442263266041,0.7096774193548387,0.8461538461538461,0.0069975620650017945,0.09677419354838712,0.14245014245014243
Liver_Lesions_1281,Liver_Lesions,0,0.9481102793500091,0.5555555555555556,1.0,0.9558336101576053,0.5555555555555556,1.0,0.007723330807596129,0.0,0.0
Liver_Lesions_1282,Liver_Lesions,0,0.26282051282051283,1.0,0.5,0.30601092896174864,1.0,0.5,0.04319041614123581,0.0,0.0
Liver_Lesions_1283,Liver_Lesions,0,,,,,,,,,
Liver_Lesions_1284,Liver_Lesions,0,0.9727150689805755,0.3333333333333333,0.25,0.9724217676659831,0.6666666666666666,0.4,-0.00029330131459237574,0.3333333333333333,0.15000000000000002
Liver_Lesions_1294,Liver_Lesions,0,0.8435413167274366,0.9,0.9,0.8535727283755914,0.9,0.75,0.010031411648154798,0.0,-0.15000000000000002
Liver_Lesions_1298,Liver_Lesions,0,0.8459900638750887,1.0,1.0,0.8152476349471341,0.6666666666666666,0.8571428571428571,-0.030742428927954535,-0.33333333333333337,-0.1428571428571429
Liver_Lesions_1302,Liver_Lesions,0,0.9791087599748947,1.0,1.0,0.9813656132541476,1.0,1.0,0.002256853279252957,0.0,0.0
Liver_Lesions_1311,Liver_Lesions,0,0.9516568398367979,1.0,0.6,0.9618647699031623,1.0,0.4285714285714285,0.010207930066364335,0.0,-0.17142857142857149
Liver_Lesions_1314,Liver_Lesions,0,0.5516483516483517,1.0,0.5555555555555556,0.5846994535519126,1.0,0.5555555555555556,0.033051101903560864,0.0,0.0
Liver_Lesions_1317,Liver_Lesions,0,0.9186144383295565,0.6,1.0,0.9237376366475794,0.6,1.0,0.005123198318022881,0.0,0.0
Liver_Lesions_1324,Liver_Lesions,0,0.8760353535353536,0.75,0.375,0.8835407736404483,0.75,0.5,0.007505420105094696,0.0,0.125
Liver_Lesions_1328,Liver_Lesions,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Liver_Lesions_1331,Liver_Lesions,0,0.8844405972733175,0.7142857142857143,0.8333333333333334,0.9298351068150434,0.7142857142857143,0.7142857142857143,0.04539450954172597,0.0,-0.11904761904761907
Liver_Lesions_1335,Liver_Lesions,0,0.9611338243106153,0.2666666666666666,1.0,0.9644321982205583,0.2666666666666666,0.6666666666666666,0.00329837390994292,0.0,-0.33333333333333337
Liver_Lesions_1338,Liver_Lesions,0,0.7216563844739546,0.5,0.6,0.7298878660554455,0.4166666666666667,0.5,0.008231481581490896,-0.08333333333333331,-0.09999999999999998
Liver_Lesions_1347,Liver_Lesions,0,0.9273617359089706,0.6666666666666666,0.6666666666666666,0.9129408701030257,0.6666666666666666,0.6666666666666666,-0.014420865805944927,0.0,0.0
Liver_Lesions_1357,Liver_Lesions,0,0.8552875695732839,1.0,0.8571428571428571,0.8582089552238806,1.0,1.0,0.0029213856505967417,0.0,0.1428571428571429
Liver_Lesions_1361,Liver_Lesions,0,0.8606439754276777,0.8461538461538461,0.6470588235294118,0.8730290192081037,0.9230769230769232,0.75,0.012385043780426042,0.0769230769230771,0.1029411764705882
Liver_Lesions_1362,Liver_Lesions,0,0.9623065760007007,0.9285714285714286,0.9285714285714286,0.9626519776291339,0.9285714285714286,0.8666666666666667,0.0003454016284332173,0.0,-0.06190476190476191
Liver_Lesions_1372,Liver_Lesions,0,0.9568624283060021,0.5,1.0,0.9640407822707014,0.5,0.5,0.007178353964699347,0.0,-0.5
Liver_Lesions_1374,Liver_Lesions,0,0.8778193529665407,0.7857142857142857,0.7857142857142857,0.8827781712117041,0.8571428571428571,0.6666666666666666,0.004958818245163421,0.0714285714285714,-0.11904761904761907
Liver_Lesions_1380,Liver_Lesions,0,0.9161113288906311,1.0,0.75,0.9263620035920974,1.0,0.75,0.010250674701466345,0.0,0.0
Liver_Lesions_1383,Liver_Lesions,0,0.3583815028901734,0.2222222222222222,0.4,0.449438202247191,0.2222222222222222,0.5,0.0910566993570176,0.0,0.09999999999999998
Liver_Lesions_1390,Liver_Lesions,0,0.5833333333333334,1.0,0.5,0.5980230642504119,1.0,1.0,0.01468973091707848,0.0,0.5
Liver_Lesions_1394,Liver_Lesions,0,0.9276914291118475,0.4705882352941176,0.8888888888888888,0.9302132108053079,0.5294117647058824,0.9,0.002521781693460401,0.058823529411764774,0.011111111111111183
Liver_Lesions_1395,Liver_Lesions,0,0.9314738111466471,0.5,1.0,0.9305567626762155,0.5,1.0,-0.000917048470431614,0.0,0.0
Liver_Lesions_1403,Liver_Lesions,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Liver_Lesions_1413,Liver_Lesions,0,0.9295774647887324,1.0,1.0,0.796875,1.0,0.5,-0.13270246478873238,0.0,-0.5
Liver_Lesions_1414,Liver_Lesions,0,0.9133804029619425,1.0,1.0,0.9092489568845619,1.0,1.0,-0.004131446077380585,0.0,0.0
Liver_Lesions_1423,Liver_Lesions,0,0.9589426153524118,1.0,0.6666666666666666,0.9689388445733623,1.0,1.0,0.009996229220950559,0.0,0.33333333333333337
