case_id,dataset,fold,dice_poly,detectability_poly,precision_poly,dice_cosine,detectability_cosine,precision_cosine,dice_difference,detectability_difference,precision_difference
Liver_Lesions_1526,Liver_Lesions,0,0.7262588158110547,0.7272727272727273,0.6666666666666666,0.6846968298576184,0.7272727272727273,0.7272727272727273,-0.0415619859534363,0.0,0.06060606060606066
Liver_Lesions_1529,Liver_Lesions,0,0.93728328573446,0.8913043478260869,0.7735849056603774,0.9302270241703023,0.8260869565217391,0.7450980392156863,-0.007056261564157618,-0.06521739130434778,-0.028486866444691117
Liver_Lesions_1536,Liver_Lesions,0,0.24226110363391656,0.3333333333333333,1.0,0.2446236559139785,0.3333333333333333,1.0,0.002362552280061936,0.0,0.0
Liver_Lesions_1544,Liver_Lesions,0,0.7272847109828706,0.7333333333333333,0.6111111111111112,0.7095936697109053,0.7333333333333333,0.4782608695652174,-0.017691041271965302,0.0,-0.13285024154589375
Liver_Lesions_1545,Liver_Lesions,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Liver_Lesions_1549,Liver_Lesions,0,0.8919024598322195,1.0,0.8,0.8906596767147226,1.0,0.8,-0.0012427831174969262,0.0,0.0
Liver_Lesions_1552,Liver_Lesions,0,0.7987411233053583,1.0,0.6666666666666666,0.8040087286834235,1.0,0.4,0.005267605378065254,0.0,-0.2666666666666666
Liver_Lesions_1563,Liver_Lesions,0,0.7180864767384444,0.5818181818181818,0.7272727272727273,0.7084733224424375,0.5818181818181818,0.8205128205128205,-0.009613154296006843,0.0,0.09324009324009319
Liver_Lesions_1571,Liver_Lesions,0,0.473508913505979,1.0,0.25,0.6292419511695757,1.0,0.5,0.1557330376635967,0.0,0.25
Liver_Lesions_1584,Liver_Lesions,0,0.8261885460874541,1.0,1.0,0.8239352273271691,1.0,1.0,-0.0022533187602850058,0.0,0.0
